Date,Description,Type,Amount,Current balance,Status
2023-07-06,HEALTHEQUITY INC,Deposit,499.64,764.66,Posted
2023-07-01,To Checking - 8930,Withdrawal,-178,265.02,Posted
2023-07-01,SoFi Rewards Redemption,Other,1.60,443.02,Posted
2023-06-30,Interest earned,Interest Earned,1.67,441.42,Posted
2023-06-28,To Checking - 8930,Withdrawal,-1814.85,439.75,Posted
2023-06-28,WELLS FARGO BANK NA,Withdrawal,-350,2254.6,Posted
2023-06-27,Nationwide,Direct Deposit,2258.37,2604.6,Posted
2023-06-17,To Checking - 8930,Withdrawal,-20,346.23,Posted
2023-06-15,DISCOVER,Direct Payment,-2487.02,366.23,Posted
2023-06-14,WELLS FARGO BANK NA,Deposit,500,2853.25,Posted
2023-06-13,Nationwide,Direct Deposit,2258.37,2353.25,Posted
2023-06-01,DISCOVER,Direct Payment,-2432.53,94.88,Posted
2023-05-31,Interest earned,Interest Earned,3.77,2527.41,Posted
2023-05-31,To Checking - 8930,Withdrawal,-690,2523.64,Posted
2023-05-30,Nationwide,Direct Deposit,3050.57,3213.64,Posted
2023-05-20,To Checking - 8930,Withdrawal,-325,163.07,Posted
2023-05-18,DISCOVER,Direct Payment,-2729.82,488.07,Posted
2023-05-16,Nationwide,Direct Deposit,2258.37,3217.89,Posted
2023-05-10,To Checking - 8930,Withdrawal,-30,959.52,Posted
2023-05-04,DISCOVER,Direct Payment,-2069.29,989.52,Posted
2023-05-02,Nationwide,Direct Deposit,2258.37,3058.81,Posted
2023-04-30,Interest earned,Interest Earned,3.31,800.44,Posted
2023-04-28,To Checking - 8930,Withdrawal,-200,797.13,Posted
2023-04-26,To Checking - 8930,Withdrawal,-50,997.13,Posted
2023-04-20,DISCOVER,Direct Payment,-1494.12,1047.13,Posted
2023-04-19,WELLS FARGO BANK NA,Withdrawal,-250,2541.25,Posted
2023-04-18,Nationwide,Direct Deposit,2258.37,2791.25,Posted
2023-04-17,WELLS FARGO BANK NA,Withdrawal,-150,532.88,Posted
2023-04-16,From Checking - 8930,Deposit,100,682.88,Posted
2023-04-06,DISCOVER,Direct Payment,-2889.63,582.88,Posted
2023-04-05,WELLS FARGO BANK NA,Deposit,300,3472.51,Posted
2023-04-05,WELLS FARGO BANK NA,Deposit,500,3172.51,Posted
2023-04-04,Nationwide,Direct Deposit,2258.37,2672.51,Posted
2023-03-31,Interest earned,Interest Earned,2.89,414.14,Posted
2023-03-24,DISCOVER,Direct Payment,-1582.05,411.25,Posted
2023-03-23,DISCOVER,Direct Payment,-1079.82,1993.3,Posted
2023-03-22,WELLS FARGO BANK NA,Withdrawal,-300,3073.12,Posted
2023-03-21,Nationwide,Direct Deposit,2258.37,3373.12,Posted
2023-03-17,To Checking - 8930,Withdrawal,-141.6,1114.75,Posted
2023-03-17,WELLS FARGO BANK NA,Deposit,700,1256.35,Posted
2023-03-10,WELLS FARGO BANK NA,Deposit,500,556.35,Posted
2023-03-10,To Checking - 8930,Withdrawal,-800,56.35,Posted
2023-03-09,DISCOVER,Direct Payment,-1079.82,856.35,Posted
2023-03-07,Nationwide,Direct Deposit,1646.21,1936.17,Posted
2023-03-02,DISCOVER,Direct Payment,-1000,289.96,Posted
2023-03-01,To Checking - 8930,Withdrawal,-150,1289.96,Posted
2023-02-28,Interest earned,Interest Earned,3.8,1439.96,Posted
2023-02-28,AZ DEPT OF REV,Deposit,874,1436.16,Posted
2023-02-27,FRANCHISE TAX BD,Deposit,284,562.16,Posted
2023-02-27,DISCOVER,Direct Payment,-1432.39,278.16,Posted
2023-02-22,WELLS FARGO BANK NA,Withdrawal,-650,1710.55,Posted
2023-02-21,Nationwide,Direct Deposit,1514.79,2360.55,Posted
2023-02-21,To Checking - 8930,Withdrawal,-100,845.76,Posted
2023-02-21,WELLS FARGO BANK NA,Withdrawal,-100,945.76,Posted
2023-02-09,DISCOVER,Direct Payment,-1995.21,1045.76,Posted
2023-02-08,WELLS FARGO BANK NA,Deposit,500,3040.97,Posted
2023-02-07,Nationwide,Direct Deposit,1513.98,2540.97,Posted
2023-02-05,To Checking - 8930,Withdrawal,-50,1026.99,Posted
2023-02-05,To Checking - 8930,Withdrawal,-50,1076.99,Posted
2023-01-31,Interest earned,Interest Earned,5.02,1126.99,Posted
2023-01-26,DISCOVER,Direct Payment,-2071.58,1121.97,Posted
2023-01-25,SoFi Rewards Redemption,Other,4.10,3193.55,Posted
2023-01-25,To Checking - 8930,Withdrawal,-100,3189.45,Posted
2023-01-25,To Checking - 8930,Withdrawal,-50,3289.45,Posted
2023-01-24,Nationwide,Direct Deposit,2705.92,3339.45,Posted
2023-01-23,DISCOVER,Direct Payment,-1000,633.53,Posted
2023-01-17,BOARD OF REGENTS,Direct Payment,-932,1633.53,Posted
2023-01-15,From Emergency Fund Vault,Deposit,253.09,2565.53,Posted
2023-01-13,To Checking - 8930,Withdrawal,-600,2312.44,Posted
2023-01-12,DISCOVER,Direct Payment,-552.53,2912.44,Posted
2023-01-10,Nationwide,Direct Deposit,3066.58,3464.97,Posted
2023-01-05,To Checking - 8930,Withdrawal,-750,398.39,Posted
