Date,Description,Type,Amount,Current balance,Status
2025-10-22,UNITED FIN CAS,Direct Payment,-86.33,4056.51,Posted
2025-10-21,To Checking - 8930,Withdrawal,-1000,4142.84,Posted
2025-10-18,To Checking - 8930,Withdrawal,-1000,5142.84,Posted
2025-10-16,DISCOVER,Direct Payment,-1004.32,6142.84,Posted
2025-10-14,Nationwide,Direct Deposit,3140.74,7147.16,Posted
2025-10-13,To Checking - 8930,Withdrawal,-155,4006.42,Posted
2025-10-10,WELLS FARGO BANK,Withdrawal,-200,4161.42,Posted
2025-10-03,WELLS FARGO BANK,Withdrawal,-400,4361.42,Posted
2025-10-02,DISCOVER,Direct Payment,-3252.99,4761.42,Posted
2025-10-01,To Checking - 8930,Withdrawal,-450,8014.41,Posted
2025-09-30,Interest earned,Interest Earned,15.56,8464.41,Posted
2025-09-30,Nationwide,Direct Deposit,3140.75,8448.85,Posted
2025-09-26,To Checking - 8930,Withdrawal,-800,5308.1,Posted
2025-09-23,UNITED FIN CAS,Direct Payment,-86.33,6108.1,Posted
2025-09-22,GEORGIA TECH ACH,Deposit,1729.44,6194.43,Posted
2025-09-18,To Checking - 8930,Withdrawal,-500,4464.99,Posted
2025-09-18,To Checking - 8930,Withdrawal,-2000,4964.99,Posted
2025-09-16,Nationwide,Direct Deposit,3989.03,6964.99,Posted
2025-09-13,To Checking - 8930,Withdrawal,-155,2975.96,Posted
2025-09-08,DISCOVER,Direct Payment,-3241.18,3130.96,Posted
2025-09-02,Nationwide,Direct Deposit,3140.75,6372.14,Posted
2025-09-01,To Checking - 8930,Withdrawal,-450,3231.39,Posted
2025-08-31,Interest earned,Interest Earned,12.49,3681.39,Posted
2025-08-25,GEORGIA TECH ACH,Direct Payment,-2402,3668.9,Posted
2025-08-22,UNITED FIN CAS,Direct Payment,-87.23,6070.9,Posted
2025-08-19,Nationwide,Direct Deposit,3140.74,6158.13,Posted
2025-08-13,To Checking - 8930,Withdrawal,-155,3017.39,Posted
2025-08-13,DISCOVER,Direct Payment,-1000,3172.39,Posted
2025-08-05,Nationwide,Direct Deposit,3140.74,4172.39,Posted
2025-08-05,DISCOVER,Direct Payment,-1000,1031.65,Posted
2025-08-01,To Checking - 8930,Withdrawal,-450,2031.65,Posted
2025-07-31,Interest earned,Interest Earned,11.42,2481.65,Posted
2025-07-28,DISCOVER,Direct Payment,-1000,2470.23,Posted
2025-07-26,To Checking - 8930,Withdrawal,-2000,3470.23,Posted
2025-07-22,Nationwide,Direct Deposit,3140.75,5470.23,Posted
2025-07-14,DISCOVER,Direct Payment,-1500,2329.48,Posted
2025-07-13,To Checking - 8930,Withdrawal,-155,3829.48,Posted
2025-07-11,DISCOVER,Direct Payment,-1500,3984.48,Posted
2025-07-09,DISCOVER,Direct Payment,-1000,5484.48,Posted
2025-07-08,Nationwide,Direct Deposit,3140.74,6484.48,Posted
2025-07-03,To Checking - 8930,Withdrawal,-780,3343.74,Posted
2025-07-01,To Checking - 8930,Withdrawal,-450,4123.74,Posted
2025-06-30,Interest earned,Interest Earned,8.69,4573.74,Posted
2025-06-24,Nationwide,Direct Deposit,3140.75,4565.05,Posted
2025-06-24,UNITED FIN CAS,Direct Payment,-69.62,1424.3,Posted
2025-06-20,DISCOVER,Direct Payment,-2238.88,1493.92,Posted
2025-06-13,To Checking - 8930,Withdrawal,-155,3732.8,Posted
2025-06-10,Nationwide,Direct Deposit,3140.73,3887.8,Posted
2025-06-09,WELLS FARGO BANK,Withdrawal,-300,747.07,Posted
2025-06-01,To Checking - 8930,Withdrawal,-450,1047.07,Posted
2025-05-31,Interest earned,Interest Earned,9.27,1497.07,Posted
2025-05-29,DISCOVER,Direct Payment,-2042.58,1487.8,Posted
2025-05-27,To Checking - 8930,Withdrawal,-1000,3530.38,Posted
2025-05-27,Nationwide,Direct Deposit,3989.05,4530.38,Posted
2025-05-22,UNITED FIN CAS,Direct Payment,-69.62,541.33,Posted
2025-05-20,DISCOVER,Direct Payment,-3702.37,610.95,Posted
