Date,Description,Type,Amount,Current balance,Status
2025-05-19,BOARD OF REGENTS,Direct Payment,-998,4313.32,Posted
2025-05-13,Nationwide,Direct Deposit,3140.75,5311.32,Posted
2025-05-13,To Checking - 8930,Withdrawal,-155,2170.57,Posted
2025-05-12,DISCOVER,Direct Payment,-1000,2325.57,Posted
2025-05-01,TICKETMASTER RES,Deposit,414.2,3325.57,Posted
2025-05-01,To Checking - 8930,Withdrawal,-450,2911.37,Posted
2025-04-30,Interest earned,Interest Earned,16.27,3361.37,Posted
2025-04-29,Nationwide,Direct Deposit,823.17,3345.1,Posted
2025-04-22,UNITED FIN CAS,Direct Payment,-69.62,2521.93,Posted
2025-04-21,DISCOVER,Direct Payment,-1758.42,2591.55,Posted
2025-04-18,To Checking - 8930,Withdrawal,-2000,4349.97,Posted
2025-04-18,DISCOVER,Direct Payment,-1758.42,6349.97,Posted
2025-04-15,Nationwide,Direct Deposit,2198.12,8108.39,Posted
2025-04-13,To Checking - 8930,Withdrawal,-155,5910.27,Posted
2025-04-09,WELLS FARGO BANK,Withdrawal,-1000,6065.27,Posted
2025-04-08,WELLS FARGO BANK,Withdrawal,-300,7065.27,Posted
2025-04-01,Nationwide,Direct Deposit,2198.11,7365.27,Posted
2025-04-01,To Checking - 8930,Withdrawal,-450,5167.16,Posted
2025-03-31,Interest earned,Interest Earned,18.76,5617.16,Posted
2025-03-24,UNITED FIN CAS,Direct Payment,-69.62,5598.4,Posted
2025-03-21,DISCOVER,Direct Payment,-2940.53,5668.02,Posted
2025-03-18,Nationwide,Direct Deposit,2198.12,8608.55,Posted
2025-03-13,To Checking - 8930,Withdrawal,-155,6410.43,Posted
2025-03-07,From Checking - 8930,Deposit,3000,6565.43,Posted
2025-03-04,To Checking - 8930,Withdrawal,-3000,3565.43,Posted
2025-03-04,To Checking - 8930,Withdrawal,-3000,6565.43,Posted
2025-03-04,To Checking - 8930,Withdrawal,-2000,9565.43,Posted
2025-03-04,Nationwide,Direct Deposit,7058.67,11565.43,Posted
2025-03-01,To Checking - 8930,Withdrawal,-450,4506.76,Posted
2025-02-28,Interest earned,Interest Earned,17.54,4956.76,Posted
2025-02-18,To Checking - 8930,Withdrawal,-3000,4939.22,Posted
2025-02-18,Nationwide,Direct Deposit,2101.68,7939.22,Posted
2025-02-13,WELLS FARGO BANK,Withdrawal,-1000,5837.54,Posted
2025-02-13,To Checking - 8930,Withdrawal,-155,6837.54,Posted
2025-02-05,DISCOVER,Direct Payment,-1640.54,6992.54,Posted
2025-02-04,Nationwide,Direct Deposit,2101.68,8633.08,Posted
2025-02-04,WELLS FARGO BANK NA,Withdrawal,-1020,6531.4,Posted
2025-02-04,To Checking - 8930,Withdrawal,-1010,7551.4,Posted
2025-02-03,FRANCHISE TAX BD,Deposit,1181,8561.4,Posted
2025-02-01,To Checking - 8930,Withdrawal,-450,7380.4,Posted
2025-01-31,Interest earned,Interest Earned,18.83,7830.4,Posted
2025-01-28,HEALTHEQUITY INC,Deposit,344.94,7811.57,Posted
2025-01-21,Nationwide,Direct Deposit,3707.35,7466.63,Posted
2025-01-21,WELLS FARGO BANK NA,Withdrawal,-100,3759.28,Posted
2025-01-16,DISCOVER,Direct Payment,-2080.94,3859.28,Posted
2025-01-15,WELLS FARGO BANK,Deposit,1000,5940.22,Posted
2025-01-13,BOARD OF REGENTS,Direct Payment,-998,4940.22,Posted
2025-01-13,To Checking - 8930,Withdrawal,-155,5938.22,Posted
2025-01-12,From Checking - 8930,Deposit,1000,6093.22,Posted
2025-01-07,To Checking - 8930,Withdrawal,-1634,5093.22,Posted
2025-01-07,Nationwide,Direct Deposit,2101.68,6727.22,Posted
2025-01-01,To Checking - 8930,Withdrawal,-450,4625.54,Posted
